cell,formula,cached_value
B173,,200 HDPE PN16 SDR11 - REDLINE
C173,='Material Rates_Master'!B5,m
D173,,139
E173,='Material Rates_Master'!D5*$M$16,46.81075
F173,=E173*D173,6506.69425
B174,,180 HDPE PN16 SDR11 - REDLINE
C174,='Material Rates_Master'!B6,m
D174,,57
E174,='Material Rates_Master'!D6*$M$16,35.144
F174,=E174*D174,2003.2079999999999
B175,,125 HDPE PN16 SDR11 - REDLINE
C175,='Material Rates_Master'!B7,m
D175,,6
E175,='Material Rates_Master'!D7*$M$16,16.99355
F175,=E175*D175,101.9613
B176,,75 HDPE PN16 SDR11 - REDLINE
C176,,m
D176,,6
E176,,12.31
F176,=E176*D176,73.86
B177,,32 HDPE PN16 SDR11 - BLUELINE
C177,='Material Rates_Master'!B8,m
D177,,6
E177,='Material Rates_Master'!D8*$M$16,1.6779419999999998
F177,=E177*D177,10.067651999999999
E180,='Material Rates_Master'!D9*$M$16,0
B181,,200 EF Coupler
C181,='Material Rates_Master'!B10,ea
E181,='Material Rates_Master'!D10*$M$16,60.8028
F181,=E181*D181,0
B182,,180 EF Coupler
C182,='Material Rates_Master'!B11,ea
E182,='Material Rates_Master'!D11*$M$16,35.493599999999994
F182,=E182*D182,0
B183,,125 EF Coupler
C183,='Material Rates_Master'!B12,ea
D183,,5
E183,='Material Rates_Master'!D12*$M$16,19.471799999999998
F183,=E183*D183,97.359
B184,,200 EF 45DFeg Bend
C184,='Material Rates_Master'!B13,ea
E184,='Material Rates_Master'!D13*$M$16,150.64079999999998
F184,=E184*D184,0
B185,,180 EF 45DFeg Bend
C185,='Material Rates_Master'!B14,ea
E185,='Material Rates_Master'!D14*$M$16,135.1986
F185,=E185*D185,0
B186,,125 EF 45DFeg Bend
C186,='Material Rates_Master'!B15,ea
D186,,2
E186,='Material Rates_Master'!D15*$M$16,61.67219999999999
F186,=E186*D186,123.34439999999998
B187,,200 EF 90DFeg Bend
C187,='Material Rates_Master'!B16,ea
D187,,5
E187,='Material Rates_Master'!D16*$M$16,150.64079999999998
F187,=E187*D187,753.204
B188,,180 EF 90DFeg Bend
C188,='Material Rates_Master'!B17,ea
D188,,3
E188,='Material Rates_Master'!D17*$M$16,134.9778
F188,=E188*D188,404.9334
B189,,125 EF 90DFeg Bend
C189,='Material Rates_Master'!B18,ea
D189,,4
E189,='Material Rates_Master'!D18*$M$16,61.61699999999999
F189,=E189*D189,246.46799999999996
B190,,200 EF TEE
C190,='Material Rates_Master'!B19,ea
D190,,1
E190,='Material Rates_Master'!D19*$M$16,151.45499999999998
F190,=E190*D190,151.45499999999998
B191,,180 EF TEE
C191,='Material Rates_Master'!B20,ea
D191,,2
E191,='Material Rates_Master'!D20*$M$16,157.7064
F191,=E191*D191,315.4128
B192,,125 EF TEE
C192,='Material Rates_Master'!B21,ea
E192,='Material Rates_Master'!D21*$M$16,67.96499999999999
F192,=E192*D192,0
B193,,200*180 EF TEE
C193,='Material Rates_Master'!B22,ea
D193,,4
E193,='Material Rates_Master'!D22*$M$16,289.0686
F193,=E193*D193,1156.2744
B194,,200*125 EF TEE
