cell,formula,cached_value
F224,=C224*E224,760
H224,,all allow for headwall 375 from humes 
B225,,Headwall to suit 300mm HDPE 
C225,,1
D225,,ea
E225,,380
F225,=C225*E225,380
H225,,all allow for headwall 375 from humes 
B226,,HEADWALL TO SUIT 375MM RCP
C226,,5
D226,,ea
E226,,380.8
F226,=C226*E226,1904
B227,,HEADWALL TO SUIT 450MM RCP
D227,,ea
E227,,400
F227,=C227*E227,0
B228,,HEADWALL TO SUIT 2 X 375MM RCP 
C228,,2
D228,,ea
E228,,588.8
F228,=C228*E228,1177.6
B229,,Headwall to suit RCBC 600X300
C229,,8
D229,,ea
E229,,1801
F229,=C229*E229,14408
B230,,Headwall to suit RCBC 750X300
C230,,1
D230,,ea
E230,,2163
F230,=C230*E230,2163
B231,,Headwall to suit RCBC 900X450
C231,,4
D231,,ea
E231,,2426
F231,=C231*E231,9704
B232,,Headwall to suit RCBC 1200X600
C232,,2
D232,,ea
E232,,3323
F232,=C232*E232,6646
B233,,Headwall to suit RCBC 1500X600
C233,,2
D233,,ea
E233,,4223
F233,=C233*E233,8446
B234,,Headwall to suit RCBC 2700X1200
C234,,2
D234,,ea
E234,,5242
F234,=C234*E234,10484
B235,,STORMWATER C&F 600 dia CLASS D - Bolt down (2 bolts)
D235,,ea
E235,,240
F235,=C235*E235,0
B236,,600x900 CL D Gal Lockable Sump Grate & Frame
D236,,ea
E236,,372
F236,=C236*E236,0
B237,,900x900 CL D 2 Part Gal Lockable Sump Grate & Frame
D237,,ea
E237,,440
F237,=C237*E237,0
B238,,Headwall T1 Multi-Knockout 225-450
D238,,ea
E238,,333
F238,=C238*E238,0
B239,,Headwall to Suit 675mm SRC Pipe
D239,,ea
E239,,400
F239,=C239*E239,0
B240,,CONCRETE HEADWALL TO SUIT 1050mm Pipe (STD DRG BSD -8101)
D240,,ea
E240,,2535.14
F240,=C240*E240,0
B242,, Grated Trench Drain and Trash box 
B243,,"GT1. RECYFIX PRO 200 CLASS B 125, TYPE 010 WITH FIBRETEC SLOTTED GRATING"
C243,,129
D243,,m
H243,,233
I243,=C243*H243,30057
B244,,"GT2 RECYFIX PRO 200 CLASS B 125, TYPE 010 WITH FIBRETEC SLOTTED GRATING"
C244,,144
D244,,m
H244,,233
I244,=C244*H244,33552
B245,,"GT3  RECYFIX PRO 200 CLASS B 125, TYPE 010 WITH FIBRETEC SLOTTED GRATING"
C245,,146
D245,,m
H245,,233
I245,=C245*H245,34018
B246,,"GT4 RECYFIX PRO 200 CLASS B 125, TYPE 010 WITH FIBRETEC SLOTTED GRATING"
C246,,144
D246,,m
H246,,233
I246,=C246*H246,33552
B247,,"GT5  RECYFIX PRO 100 CLASS B 125, TYPE 010 WITH STAINLESS STEEL ANTI-SLIP HEELGUARD GRATING"
C247,,16
D247,,m
H247,,280
I247,=C247*H247,4480
B248,,"GT6 RECYFIX PRO 200 CLASS D 400, TYPE 010 WITH HEELGUARD G-TEC DUCTILE IRON GRATING"
C248,,32
D248,,m
H248,,280
I248,=C248*H248,8960
B249,,"GT7 RECYFIX PRO 100 CLASS B 125, TYPE 010 WITH STAINLESS STEEL ANTI-SLIP HEELGUARD GRATING"
C249,,4
D249,,m
H249,,369
I249,=C249*H249,1476
B250,,"GT8  RECYFIX PRO 100 CLASS B 125, TYPE 010 WITH STAINLESS STEEL ANTI-SLIP HEELGUARD GRATING"
C250,,6
D250,,m
H250,,369
I250,=C250*H250,2214
B251,,"GT9  RECYFIX PRO 100 CLASS B 125, TYPE 010 WITH STAINLESS STEEL ANTI-SLIP HEELGUARD GRATING"
C251,,4
D251,,m
H251,,369
I251,=C251*H251,1476
B252,,end cap fpr 100mm trench grate 
C252,,10
D252,,ea
H252,,23.53
I252,=C252*H252,235.3
B253,,End cap for 200 mm grate trench 
C253,,8
D253,,ea
H253,,10
I253,=C253*H253,80
I254,=C254*H254,0
B255,,HAURATON TRASH BOX 100
C255,,4
D255,,ea
H255,,215
I255,=C255*H255,860
B256,,HAURATON TRASH BOX 200
C256,,25
D256,,ea
H256,,536
I256,=C256*H256,13400
B257,,estimate transprot for grate trench and trash box 
C257,,1
D257,,ea
H257,,500
I257,=C257*H257,500
J258,,TOTAL 
K258,=SUM(I243:I257),164860.3
B259,, ROCK AND EROSION CONTROL MATTING for kerb chute 
B261,,"ROCK :DIA 100 , 180 thickness (measure area  56m2)"
C261,=56*0.18,10.08
D261,,m3
H261,,150
I261,=C261*H261,1512
B262,,erosion control matting 
C262,,56
D262,,m2
H262,,7
I262,=C262*H262,392
B264,, ROCK AND EROSION CONTROL MATTING for kerb chute
B265,,D50=200mm Depth 360 mm (measure area  71m2)
C265,=71*0.36,25.56
D265,,m3
E265,,110
F265,=C265*E265,2811.6
B266,,"d50=100, 180MM THICKNESS (measure area  180m2)"
C266,=180*0.18,32.4
D266,,m3
E266,,120
F266,=C266*E266,3888
B267,,D50=500mm Depth =900mm (measure area  264m2)
C267,=264*0.9,237.6
D267,,m3
E267,,110
F267,=C267*E267,26136
B269,,100mm socked ag pipe     
D269,,m
E269,,5
F269,=C269*E269,0
G269,,2173
H269,,m
I269,,5
J269,=G269*I269,10865
B270,,MH Step Irons (230mm Wide)
D270,,ea
E270,,18.12
F270,=C270*E270,0
B271,,Kerb Adapter - Galv - SQ/Flat/Upright - 
D271,,ea
F271,=C271*E271,0
B272,,Kerb Adapter - Galv - Layback/Sloped - 
D272,,ea
F272,=C272*E272,0
B273,,PVC Round x Rectangle adapt - 90mm - 100*50
