cell,formula,cached_value
E195,='Material Rates_Master'!D27*$M$16,472.443
F195,=E195*D195,0
B196,,"180PE*6""(150mm) - MaxiStub W/Backing Ring"
C196,='Material Rates_Master'!B28,ea
E196,='Material Rates_Master'!D28*$M$16,179.0826
F196,=E196*D196,0
B197,,"125PE*4"" (100mm) - MaxiStub W/Backing Ring"
C197,='Material Rates_Master'!B29,ea
E197,='Material Rates_Master'!D29*$M$16,127.88459999999999
F197,=E197*D197,0
B198,,180mm PE x 150mm GALV ADAPTER - PLASSON Brand 
C198,='Material Rates_Master'!B30,ea
E198,='Material Rates_Master'!D30*$M$16,432.20219999999995
F198,=E198*D198,0
B199,,125mm PE x 100mm GALV ADAPTER - PLASSON Brand 
C199,='Material Rates_Master'!B31,ea
E199,='Material Rates_Master'!D31*$M$16,281.6718
F199,=E199*D199,0
C200,='Material Rates_Master'!B32,0
E200,='Material Rates_Master'!D32*$M$16,0
F200,=E200*D200,0
B201,,180mm PE x 150mm GALV ADAPTER
C201,='Material Rates_Master'!B33,ea
E201,='Material Rates_Master'!D33*$M$16,435.67979999999994
F201,=E201*D201,0
B202,,125mm PE x 100mm GALV ADAPTER
C202,='Material Rates_Master'!B34,ea
E202,='Material Rates_Master'!D34*$M$16,277.97339999999997
F202,=E202*D202,0
B203,,200 Long SPIG 45DFeg Bend
C203,='Material Rates_Master'!B35,ea
E203,='Material Rates_Master'!D35*$M$16,94.5852
F203,=E203*D203,0
B204,,180 Long SPIG 45DFeg Bend
C204,='Material Rates_Master'!B36,ea
E204,='Material Rates_Master'!D36*$M$16,88.95479999999998
F204,=E204*D204,0
B205,,125 Long SPIG 45DFeg Bend
C205,='Material Rates_Master'!B37,ea
E205,='Material Rates_Master'!D37*$M$16,53.48879999999999
F205,=E205*D205,0
B206,,200 Long SPIG 90DFeg Bend
C206,='Material Rates_Master'!B38,ea
E206,='Material Rates_Master'!D38*$M$16,118.9146
F206,=E206*D206,0
B207,,180 Long SPIG 90DFeg Bend
C207,='Material Rates_Master'!B39,ea
E207,='Material Rates_Master'!D39*$M$16,93.9918
F207,=E207*D207,0
B208,,125 Long SPIG 90DFeg Bend
C208,='Material Rates_Master'!B40,ea
E208,='Material Rates_Master'!D40*$M$16,43.67699999999999
F208,=E208*D208,0
B209,,200 Long SPIG TEE
C209,='Material Rates_Master'!B41,ea
E209,='Material Rates_Master'!D41*$M$16,176.14319999999998
F209,=E209*D209,0
B210,,180 Long SPIG TEE
C210,='Material Rates_Master'!B42,ea
E210,='Material Rates_Master'!D42*$M$16,157.62359999999998
F210,=E210*D210,0
B211,,125 Long SPIG TEE
C211,='Material Rates_Master'!B43,ea
E211,='Material Rates_Master'!D43*$M$16,52.79879999999999
F211,=E211*D211,0
B212,,200*180 Long SPIG TEE
C212,='Material Rates_Master'!B44,ea
E212,='Material Rates_Master'!D44*$M$16,253.20239999999995
F212,=E212*D212,0
B213,,200*125 Long SPIG TEE
C213,='Material Rates_Master'!B45,ea
E213,='Material Rates_Master'!D45*$M$16,265.5534
F213,=E213*D213,0
B214,,180*125 Long SPIG TEE
C214,='Material Rates_Master'!B46,ea
E214,='Material Rates_Master'!D46*$M$16,256.27979999999997
F214,=E214*D214,0
B215,,200*180 Long SPIG Reducer
C215,='Material Rates_Master'!B47,ea
E215,='Material Rates_Master'!D47*$M$16,77.0592
F215,=E215*D215,0
B216,,180*125 Long SPIG Reducer
C216,='Material Rates_Master'!B48,ea
E216,='Material Rates_Master'!D48*$M$16,54.965399999999995
F216,=E216*D216,0
B217,,75PE 50 CU TRANSITION
C217,,ea
E217,,45
F217,=E217*D217,0
B218,,32 PE 25 CU TRANSITION 
C218,,ea
E218,,35
F218,=E218*D218,0
C219,='Material Rates_Master'!B49,0
E219,='Material Rates_Master'!D49,0
F219,=E219*D219,0
B220,,200 FL DICL Sluice Valve
C220,='Material Rates_Master'!B50,ea
E220,='Material Rates_Master'!D50,679.41
F220,=E220*D220,0
B221,,150 FL DICL Sluice Valve
C221,='Material Rates_Master'!B51,ea
E221,='Material Rates_Master'!D51,323.53
F221,=E221*D221,0
B222,,100 FL DICL Sluice Valve
C222,='Material Rates_Master'!B52,ea
E222,='Material Rates_Master'!D52,202.94
F222,=E222*D222,0
B223,,Valve Spindle Riser - 600Long
C223,='Material Rates_Master'!B53,ea
E223,='Material Rates_Master'!D53,136.94
F223,=E223*D223,0
B224,,"Valve Box - Cast Iron Trafficable - Rectangle Type ""V"""
C224,='Material Rates_Master'!B54,ea
E224,='Material Rates_Master'!D54,123.53
F224,=E224*D224,0
B225,,"Valve Box - Non-Trafficable - Plastic Surround with CI Drop In ""V"""
C225,='Material Rates_Master'!B55,ea
E225,='Material Rates_Master'!D55,98.82
F225,=E225*D225,0
C226,='Material Rates_Master'!B56,0
E226,='Material Rates_Master'!D56,0
F226,=E226*D226,0
B227,,200*150mm DICL FL Reducer
C227,='Material Rates_Master'!B57,ea
E227,='Material Rates_Master'!D57,291.18
F227,=E227*D227,0
B228,,200*100mm DICL FL Reducer
C228,='Material Rates_Master'!B58,ea
E228,='Material Rates_Master'!D58,330
F228,=E228*D228,0
B229,,150*100mm DICL FL Reducer
C229,='Material Rates_Master'!B59,ea
E229,='Material Rates_Master'!D59,156
F229,=E229*D229,0
B230,,150mm DICL FL * SP Adapter
C230,='Material Rates_Master'!B60,ea
E230,='Material Rates_Master'!D60,106.24
F230,=E230*D230,0
B231,,100mm DICL FL * SP Adapter
C231,='Material Rates_Master'!B61,ea
E231,='Material Rates_Master'!D61,70.59
F231,=E231*D231,0
B232,,200mm DICL FL 90Deg Bend
C232,='Material Rates_Master'!B62,ea
E232,='Material Rates_Master'!D62,516.35
F232,=E232*D232,0
B233,,150mm DICL FL 90Deg Bend
C233,='Material Rates_Master'!B63,ea
E233,='Material Rates_Master'!D63,198.88
F233,=E233*D233,0
B234,,100mm DICL FL 90Deg Bend
C234,='Material Rates_Master'!B64,ea
E234,='Material Rates_Master'!D64,108.71
F234,=E234*D234,0
B235,,200mm DICL FL TEE
C235,='Material Rates_Master'!B65,ea
E235,='Material Rates_Master'!D65,672.65
F235,=E235*D235,0
B236,,150mm DICL FL TEE
C236,='Material Rates_Master'!B66,ea
E236,='Material Rates_Master'!D66,228.24
F236,=E236*D236,0
B237,,100mm DICL FL TEE
