cell,formula,cached_value
B157,='Material Rates_Master'!A186,CBR 45/2.5 Roadbase
C157,='Material Rates_Master'!B186,m3
E157,='Material Rates_Master'!D186,41.9
F157,=E157*D157,0
B158,='Material Rates_Master'!A187,Turf Underlay/Topsoil
C158,='Material Rates_Master'!B187,m3
E158,='Material Rates_Master'!D187,45.25
F158,=E158*D158,0
B159,='Material Rates_Master'!A188,Standard Garden Woodchip
C159,='Material Rates_Master'!B188,m3
E159,='Material Rates_Master'!D188,87
F159,=E159*D159,0
B160,='Material Rates_Master'!A189,Turf - Standard Couch or Similar
C160,='Material Rates_Master'!B189,Slab (.5m2)
E160,='Material Rates_Master'!D189,6.48
F160,=E160*D160,0
B162,='Material Rates_Master'!A193,Cement Stabalized Sand (3-5%)
C162,='Material Rates_Master'!B193,m3
E162,='Material Rates_Master'!D193,169
F162,=E162*D162,0
B163,='Material Rates_Master'!A194,Exposed Agg Concrete - Standard/Cheapest Exposed Agg Stone
C163,='Material Rates_Master'!B194,m3
E163,='Material Rates_Master'!D194,252
F163,=E163*D163,0
B164,='Material Rates_Master'!A195,N25 20mm 80 Slump Concrete
C164,='Material Rates_Master'!B195,m3
E164,='Material Rates_Master'!D195,263
F164,=E164*D164,0
B166,,"Valve Margin strips; Concrete slab, 1 directions sign, 3 x valve No sign."
C166,,ea
E166,,380
F166,=E166*D166,0
B169,,FIRE SERVICES - INGROUND
B171,,200 HDPE PN16 SDR11 - REDLINE
C171,='Material Rates_Master'!B5,m
E171,='Material Rates_Master'!D5*$M$16,46.81075
F171,=E171*D171,0
B172,,180 HDPE PN16 SDR11 - REDLINE
C172,='Material Rates_Master'!B6,m
E172,='Material Rates_Master'!D6*$M$16,35.144
F172,=E172*D172,0
B173,,125 HDPE PN16 SDR11 - REDLINE
C173,='Material Rates_Master'!B7,m
D173,,218
E173,='Material Rates_Master'!D7*$M$16,16.99355
F173,=E173*D173,3704.5939
B174,,32 HDPE PN16 SDR11 - BLUELINE
C174,='Material Rates_Master'!B8,m
E174,='Material Rates_Master'!D8*$M$16,1.6779419999999998
F174,=E174*D174,0
E175,='Material Rates_Master'!D9*$M$16,0
B176,,200 EF Coupler
C176,='Material Rates_Master'!B10,ea
E176,='Material Rates_Master'!D10*$M$16,60.8028
F176,=E176*D176,0
B177,,180 EF Coupler
C177,='Material Rates_Master'!B11,ea
E177,='Material Rates_Master'!D11*$M$16,35.493599999999994
F177,=E177*D177,0
B178,,125 EF Coupler
C178,='Material Rates_Master'!B12,ea
D178,,1
E178,='Material Rates_Master'!D12*$M$16,19.471799999999998
F178,=E178*D178,19.471799999999998
B179,,200 EF 45DFeg Bend
C179,='Material Rates_Master'!B13,ea
E179,='Material Rates_Master'!D13*$M$16,150.64079999999998
F179,=E179*D179,0
B180,,180 EF 45DFeg Bend
C180,='Material Rates_Master'!B14,ea
E180,='Material Rates_Master'!D14*$M$16,135.1986
F180,=E180*D180,0
B181,,125 EF 45DFeg Bend
C181,='Material Rates_Master'!B15,ea
E181,='Material Rates_Master'!D15*$M$16,61.67219999999999
F181,=E181*D181,0
B182,,200 EF 90DFeg Bend
C182,='Material Rates_Master'!B16,ea
E182,='Material Rates_Master'!D16*$M$16,150.64079999999998
F182,=E182*D182,0
B183,,180 EF 90DFeg Bend
C183,='Material Rates_Master'!B17,ea
E183,='Material Rates_Master'!D17*$M$16,134.9778
F183,=E183*D183,0
B184,,125 EF 90DFeg Bend
C184,='Material Rates_Master'!B18,ea
D184,,6
E184,,70
F184,=E184*D184,420
B185,,125 EF 45DFeg Bend
C185,,ea
D185,,3
E185,,62
F185,=E185*D185,186
B186,,200 EF TEE
C186,='Material Rates_Master'!B19,ea
E186,='Material Rates_Master'!D19*$M$16,151.45499999999998
F186,=E186*D186,0
B187,,180 EF TEE
C187,='Material Rates_Master'!B20,ea
E187,='Material Rates_Master'!D20*$M$16,157.7064
F187,=E187*D187,0
B188,,125 EF TEE
C188,='Material Rates_Master'!B21,ea
D188,,1
E188,='Material Rates_Master'!D21*$M$16,67.96499999999999
F188,=E188*D188,67.96499999999999
B189,,200*180 EF TEE
C189,='Material Rates_Master'!B22,ea
E189,='Material Rates_Master'!D22*$M$16,289.0686
F189,=E189*D189,0
B190,,200*125 EF TEE
C190,='Material Rates_Master'!B23,ea
E190,='Material Rates_Master'!D23*$M$16,301.4196
F190,=E190*D190,0
B191,,180*125 EF TEE
C191,='Material Rates_Master'!B24,ea
E191,='Material Rates_Master'!D24*$M$16,168.53939999999997
F191,=E191*D191,0
B192,,200*180 EF Reducer
C192,='Material Rates_Master'!B25,ea
E192,='Material Rates_Master'!D25*$M$16,173.35559999999998
F192,=E192*D192,0
B193,,180*125 EF Reducer
C193,='Material Rates_Master'!B26,ea
E193,='Material Rates_Master'!D26*$M$16,82.938
F193,=E193*D193,0
B194,,"200PE*8""(200m) - MaxiStub W/Backing Ring"
C194,='Material Rates_Master'!B27,ea
E194,='Material Rates_Master'!D27*$M$16,472.443
F194,=E194*D194,0
B195,,"180PE*6""(150mm) - MaxiStub W/Backing Ring"
C195,='Material Rates_Master'!B28,ea
E195,='Material Rates_Master'!D28*$M$16,179.0826
F195,=E195*D195,0
