cell,formula,cached_value
B258,,TCS Additional Meals Allowance (If no cooking Facilities?)
C258,=D258/7,0
D258,,0
E258,=D258*4,0
F258,=E258*3,0
B259,,TCS Furnishings?
C259,=D259/7,0
D259,,0
E259,=D259*4,0
F259,=E259*3,0
B260,,TCS Cleaning/Servincing Allowance?
C260,=F260/90,3.3333333333333335
D260,=E260/4,25
E260,=F260/3,100
F260,,300
B262,,Total TCS Cost
C262,=SUM(C254:C261),152.22222222222226
D262,=SUM(D254:D261),1141.6666666666665
E262,=SUM(E254:E261),4566.666666666666
F262,=SUM(F254:F261),13700
B263,,Total Cost Per Person
C263,=D263/7,54.36507936507935
D263,=D262/C245,380.5555555555555
E263,=D263*4,1522.222222222222
F263,=E263*3,4566.666666666666
B266,,Full Apartment / TownHouse / Unit - VIA AGENT
B267,,"1 x Unit, 3 x Room"
C267,,House
D267,,Share House'
B268,,No. of persons stayng;
C268,,3
B269,,Furnished
C269,,NO
B270,,*Serviced
C270,,NO
B271,,Individual/Private BATHROOM
C271,,YES
B272,,Individual/Private KITCHEN (Cooking) Faciliities Available - Microwave min.
C272,,YES
B273,,Individual/Private LAUNDRY Facilities Available
C273,,YES
B274,,Individual/Private LOUNGE ROOM Facilities Available
C274,,YES
C276,,Sngl Night
D276,,Week
E276,,Month
F276,,Qtr
B277,,Total Booking Cost 
C277,=F277/90,77.77777777777777
D277,=E277/4,583.3333333333334
E277,=F277/3,2333.3333333333335
F277,,7000
B279,,TCS Housing Consumables; …..
C279,=F279/90,4.444444444444445
D279,=E279/4,33.333333333333336
E279,=F279/3,133.33333333333334
F279,,400
B280,,TCS Laundry Allowance..?
C280,=F280/90,0
D280,=E280/4,0
E280,=F280/3,0
F280,,0
B281,,TCS Additional Meals Allowance (If no cooking Facilities?)
C281,=F281/90,0
D281,=E281/4,0
E281,=F281/3,0
F281,,0
B282,,TCS Furnishings?
C282,=F282/90,31.11111111111111
D282,=E282/4,233.33333333333334
E282,=F282/3,933.3333333333334
F282,,2800
B283,,TCS Cleaning/Servincing Allowance?
C283,=F283/90,16.666666666666668
D283,=E283/4,125
E283,=F283/3,500
F283,,1500
B284,,"TCS Cost - Labour to set up, Fitout etc?"
C284,=F284/90,11.11111111111111
D284,=E284/4,83.33333333333333
E284,=F284/3,333.3333333333333
F284,,1000
B286,,Total TCS Cost
C286,=SUM(C277:C285),141.11111111111111
D286,=SUM(D277:D285),1058.3333333333335
E286,=SUM(E277:E285),4233.333333333334
F286,=SUM(F277:F285),12700
B287,,Total Cost Per Person
C287,=D287/7,50.396825396825406
D287,=D286/C268,352.7777777777778
E287,=D287*4,1411.1111111111113
F287,=E287*3,4233.333333333334
B289,,"1 x Unit, 4 x Room"
C289,,House
A290,,HIDDEN
B290,,No. of persons stayng;
C290,,4
B291,,Furnished
C291,,NO
B292,,*Serviced
C292,,NO
B293,,Individual/Private BATHROOM
C293,,YES
B294,,Individual/Private KITCHEN (Cooking) Faciliities Available - Microwave min.
C294,,YES
B295,,Individual/Private LAUNDRY Facilities Available
C295,,YES
B296,,Individual/Private LOUNGE ROOM Facilities Available
C296,,YES
C298,,Sngl Night
D298,,Week
E298,,Month
F298,,Qtr
B299,,Total Booking Cost 
C299,=F299/90,87.22222222222223
D299,=E299/4,654.1666666666666
E299,=F299/3,2616.6666666666665
F299,,7850
B301,,TCS Housing Consumables; …..
C301,=F301/90,4.444444444444445
D301,=E301/4,33.333333333333336
E301,=F301/3,133.33333333333334
F301,,400
B302,,TCS Laundry Allowance..?
C302,=F302/90,0
D302,=E302/4,0
E302,=F302/3,0
F302,,0
B303,,TCS Additional Meals Allowance (If no cooking Facilities?)
C303,=F303/90,0
D303,=E303/4,0
E303,=F303/3,0
F303,,0
B304,,TCS Furnishings?
C304,=F304/90,38.888888888888886
D304,=E304/4,291.6666666666667
E304,=F304/3,1166.6666666666667
F304,,3500
B305,,TCS Cleaning/Servincing Allowance?
C305,=F305/90,20.555555555555557
D305,=E305/4,154.16666666666666
E305,=F305/3,616.6666666666666
F305,,1850
