cell,formula,cached_value
A187,,Turf Underlay/Topsoil
B187,,m3
D187,=[4]Concrete_Quarry!$J$19,45.25
F187,=I187*D187,6912.050625
I187,,152.7525
A188,,Standard Garden Woodchip
B188,,m3
D188,=[4]Concrete_Quarry!$J$20,87
F188,=I188*D188,353.04600000000005
I188,,4.058000000000001
A189,,Turf - Standard Couch or Similar
B189,,Slab (.5m2)
D189,=[4]Concrete_Quarry!$N$21,6.48
F189,=I189*D189,22436.2872
I189,,3462.3899999999994
A191,,Concrete Product
A192,,Description
B192,,Unit
D192,,Rate
F192,,Total
G192,,COMPLETED don’t edit
I192,,Qty
A193,,Cement Stabalized Sand (3-5%)
B193,,m3
D193,=[4]Concrete_Quarry!$F$26,169
F193,=I193*D193,87150.53684999999
I193,,515.68365
A194,,Exposed Agg Concrete - Standard/Cheapest Exposed Agg Stone
B194,,m3
D194,=[4]Concrete_Quarry!$F$27,252
F194,=I194*D194,23250.528
I194,,92.264
A195,,N25 20mm 80 Slump Concrete
B195,,m3
D195,=[4]Concrete_Quarry!$F$28,263
F195,=I195*D195,3971.5104000000006
I195,,15.100800000000001
A197,,Asphalt
A198,,Description
B198,,Unit
D198,,Rate
F198,,Total
I198,,Qty
A199,,50mm Thick Roadway
B199,,m2
D199,,0
F199,=I199*D199,0
I199,,1516.8799999999999
A215,,Excavation/Quarry/Misc/ Takeoff.
B216,,Unit
C216,,Rate
E216,,Rate
I216,,Qty
A217,,Avrg Trench = .900D*.500W
B217,,m
I217,,1250
A218,,L/M Of Asphalt Reinstate
B218,,m
I218,,120
A219,,M2 Of Asphalt Reinstate
B219,,m2
I219,=I218*0.8,96
A220,,L/M Of CBR Reinstate
B220,,m
I220,,968
A221,,L/M of Inground Pipe
B221,,m
I221,,1250
A222,,L/M of Tunnel Bore
B222,,m
I222,,75
A225,,Spoil Removal
B225,,W
C225,,L
D225,,Spoil Factor;
E225,,L
F225,,Total m3
I225,,D
A226,,Average Trench Dimensions
B226,,0.5
C226,,1250
D226,,1.3
E226,,1250
F226,=(I226*B226*C226)*D226,731.25
I226,,0.9
A230,,Thrust Block Concrete
B230,,Qty
C230,,Total m3
D230,,Contingency
E230,,Total m3
F230,,Total m3
G230,,Total Cost
I230,,m3/TB
B231,,12
C231,=B231*I231,0.42000000000000004
D231,,1.02
E231,=D231*K231,0
F231,=(I231*B231*C231)*D231,0.17992800000000003
G231,=F231*D195,47.32106400000001
I231,,0.035
A233,,Bollard Concrete
B233,,Qty
C233,,Total m3
D233,,Contingency
E233,,Total m3
F233,,Total m3
G233,,Total Cost
I233,,m3/B
A234,,Set
B234,,40
C234,=B234*I234,3.2
D234,,1.02
E234,=D234*K234,0
F234,=(I234*B234*C234)*D234,10.444800000000003
G234,=F234*D195,2746.982400000001
I234,,0.08
A235,,Fill
B235,,40
C235,=B235*I235,3.5999999999999996
D235,,1.02
E235,=D235*K235,0
